Year,Sex,Name,Count
1996,Female,cara,832
1996,Female,caren,29
1996,Female,caressa,5
1996,Female,carey,5
1996,Female,cari,40
1996,Female,caridad,8
1996,Female,carina,566
1996,Female,carisa,6
1996,Female,carisma,5
1996,Female,carissa,692
1996,Female,carla,733
1996,Female,carlee,263
1996,Female,carleigh,43
1996,Female,carlene,5
1996,Female,carley,682
1996,Female,carli,325
1996,Female,carlie,445
1996,Female,carlin,7
1996,Female,carline,5
1996,Female,carlisha,5
1996,Female,carlos,18
1996,Female,carly,2499
1996,Female,carlye,5
1996,Female,carlyn,19
1996,Female,carmel,6
1996,Female,carmela,37
1996,Female,carmelita,19
1996,Female,carmen,850
1996,Female,carmina,13
1996,Female,carol,359
1996,Female,carolann,6
1996,Female,carole,5
1996,Female,carolina,998
1996,Female,caroline,4458
1996,Female,carolyn,1179
1996,Female,carolynn,5
1996,Female,carrie,851
1996,Female,carrigan,19
1996,Female,carrington,29
1996,Female,carrissa,5
1996,Female,carson,200
1996,Female,carter,18
1996,Female,caryn,18
1996,Female,casady,5
1996,Female,casandra,360
1996,Female,casey,2533
1996,Female,cashmere,5
1996,Female,casie,49
1996,Female,cassady,5
1996,Female,cassandra,4011
1996,Female,cassaundra,24
1996,Female,cassey,5
1996,Female,cassi,5
1996,Female,cassidi,6
1996,Female,cassidy,2834
1996,Female,cassie,621
1996,Female,cassondra,78
1996,Female,cassy,5
1996,Female,catalina,192
1996,Female,catarina,24
1996,Female,catelyn,8
1996,Female,caterina,28
1996,Female,catharine,16
1996,Female,catherine,3731
1996,Female,cathleen,31
1996,Female,cathrine,6
1996,Female,cathryn,82
1996,Female,cathy,72
1996,Female,catlin,8
1996,Female,catrina,88
1996,Female,cayce,5
1996,Female,cayla,398
1996,Female,caylee,81
1996,Female,caylie,5
1996,Female,caylin,80
1996,Female,ceara,18
1996,Female,cecelia,241
1996,Female,cecile,5
1996,Female,cecilia,1036
1996,Female,cecily,65
1996,Female,celena,82
1996,Female,celene,17
1996,Female,celest,22
1996,Female,celeste,1115
1996,Female,celestina,15
1996,Female,celia,286
1996,Female,celicia,5
1996,Female,celina,310
1996,Female,celinda,5
1996,Female,celine,232
1996,Female,celines,7
1996,Female,cera,8
1996,Female,cerina,12
1996,Female,cesia,13
1996,Female,cesilia,10
1996,Female,chabeli,10
1996,Female,chaise,5
1996,Female,champagne,10
1996,Female,chana,140
1996,Female,chance,9
1996,Female,chandler,451
1996,Female,chandra,50
1996,Female,chanel,373
1996,Female,chanell,22
1996,Female,chanelle,67
1996,Female,chaney,6
